Task ID,Task Data,User ID,Question Key,Response Type,Response
52536,Container: [Bottle],azEvj,multiple,choices,Yes
52536,Container: [Bottle],azEvj,distinct,choices,No
52536,Container: [Bottle],kabTG,multiple,choices,No
52541,"Departments: [Plastic Raw Materials, Plastic Sheets, Arts, Crafts & Sewing, Occupational Health & Safety Products, Safety Signs & Signals, Patio, Lawn & Garden, Home & Kitchen]",RWIej,multiple,choices,Yes
52541,"Departments: [Plastic Raw Materials, Plastic Sheets, Arts, Crafts & Sewing, Occupational Health & Safety Products, Safety Signs & Signals, Patio, Lawn & Garden, Home & Kitchen]",RWIej,distinct,choices,No
52541,"Departments: [Plastic Raw Materials, Plastic Sheets, Arts, Crafts & Sewing, Occupational Health & Safety Products, Safety Signs & Signals, Patio, Lawn & Garden, Home & Kitchen]",RWIej,not_distinct,text,Plastic...
52541,"Departments: [Plastic Raw Materials, Plastic Sheets, Arts, Crafts & Sewing, Occupational Health & Safety Products, Safety Signs & Signals, Patio, Lawn & Garden, Home & Kitchen]",RWIej,not_distinct_reason,text,Plastic sheets are also plastic raw material
52541,"Departments: [Plastic Raw Materials, Plastic Sheets, Arts, Crafts & Sewing, Occupational Health & Safety Products, Safety Signs & Signals, Patio, Lawn & Garden, Home & Kitchen]",xpkWQ,multiple,choices,Yes
52541,"Departments: [Plastic Raw Materials, Plastic Sheets, Arts, Crafts & Sewing, Occupational Health & Safety Products, Safety Signs & Signals, Patio, Lawn & Garden, Home & Kitchen]",xpkWQ,distinct,choices,Yes
52549,Fashion: [Top Brands],7JMHx,multiple,choices,No
52549,Fashion: [Top Brands],wcLJ8,multiple,choices,No
52574,Automotive: [Vehicle Specific Fit],76lWW,multiple,choices,No
52574,Automotive: [Vehicle Specific Fit],2w04p,multiple,choices,No
52581,"Condition: [New, Used]",Cx121,multiple,choices,Yes
52581,"Condition: [New, Used]",Cx121,distinct,choices,Yes
52581,"Condition: [New, Used]",zkyxz,multiple,choices,Yes
52581,"Condition: [New, Used]",zkyxz,distinct,choices,Yes
52594,Beauty: [Premium Brands],76lWW,multiple,choices,No
52594,Beauty: [Premium Brands],wcLJ8,multiple,choices,No
52636,"Color: [White, Multi, Blue, Black, Grey, Brown, Red, Pink, Orange, Yellow, Green, Purple, Vilot]",7JMHx,multiple,choices,Yes
52636,"Color: [White, Multi, Blue, Black, Grey, Brown, Red, Pink, Orange, Yellow, Green, Purple, Vilot]",7JMHx,distinct,choices,No
52636,"Color: [White, Multi, Blue, Black, Grey, Brown, Red, Pink, Orange, Yellow, Green, Purple, Vilot]",7JMHx,not_distinct,text,"Purple, Vilot"
52636,"Color: [White, Multi, Blue, Black, Grey, Brown, Red, Pink, Orange, Yellow, Green, Purple, Vilot]",7JMHx,not_distinct_reason,text,"Purple, and Vilot are too similar colors to be distinct"
52636,"Color: [White, Multi, Blue, Black, Grey, Brown, Red, Pink, Orange, Yellow, Green, Purple, Vilot]",azEvj,multiple,choices,Yes
52636,"Color: [White, Multi, Blue, Black, Grey, Brown, Red, Pink, Orange, Yellow, Green, Purple, Vilot]",azEvj,distinct,choices,No
52636,"Color: [White, Multi, Blue, Black, Grey, Brown, Red, Pink, Orange, Yellow, Green, Purple, Vilot]",azEvj,not_distinct,text,"purple,vilot"
52636,"Color: [White, Multi, Blue, Black, Grey, Brown, Red, Pink, Orange, Yellow, Green, Purple, Vilot]",azEvj,not_distinct_reason,text,Some of the same colors
52668,"Local Stores: [Fresh, Whole Foods Market]",zkyxz,multiple,choices,Yes
52668,"Local Stores: [Fresh, Whole Foods Market]",zkyxz,distinct,choices,Yes
52668,"Local Stores: [Fresh, Whole Foods Market]",RWIej,multiple,choices,Yes
52668,"Local Stores: [Fresh, Whole Foods Market]",RWIej,distinct,choices,Yes
52716,"Fashion: [Guchi,louis vuitton]",76lWW,multiple,choices,Yes
